date,close,volume,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY,interest_rates,benz_rate
2018-05-01,243.333,74203400.0,1.0,0.0,0.0,0.0,-628.001,-176.0,-176.0,-25.333,-25.333,-477.334,-477.334,0.0,0.0,0.0,243.333,243.333,243.333,243.333,15.49,118.41,101.35,83.13,1.7,7.444
2018-05-02,241.698,86368900.0,2.0,-0.037,-0.02,-0.016,-571.761,-307.921,-307.921,-119.529,-119.529,-684.703,-684.703,0.0,0.0,0.0,242.515,242.515,242.515,242.515,15.97,118.28,101.37,83.16,1.7,7.312
2018-05-03,241.165,136311500.0,3.0,-0.063,-0.038,-0.025,-269.752,-295.198,-295.198,-178.085,-178.085,-529.422,-529.422,0.0,0.0,0.0,242.065,242.065,242.065,242.065,15.9,118.81,101.63,83.22,1.7,7.667
2018-05-04,244.288,91222100.0,4.0,0.039,-0.012,0.051,-190.728,-260.374,-260.374,-205.515,-205.515,-370.093,-370.093,1.64,62.119,62.119,242.621,242.621,242.621,242.621,14.77,118.99,101.64,83.19,1.7,6.333
2018-05-07,245.114,55304900.0,0.0,0.127,0.029,0.097,-155.361,-225.37,-225.37,-212.133,-212.133,-251.843,-251.843,2.107,67.818,67.818,243.12,243.12,243.12,243.12,14.75,118.8,101.59,83.19,1.7,7.667
2018-05-08,245.114,67499200.0,1.0,0.177,0.069,0.108,-155.361,-202.033,-202.033,-208.767,-208.767,-188.567,-188.567,2.107,67.818,67.818,243.452,243.452,243.452,243.452,14.71,118.69,101.42,83.2,1.7,6.6
2018-05-09,247.483,59666100.0,2.0,0.313,0.131,0.182,-106.9,-170.322,-170.322,-195.952,-195.952,-119.063,-119.063,3.661,78.548,78.548,244.028,244.028,244.028,244.028,13.42,117.98,101.19,83.16,1.7,7.111
2018-05-10,249.797,72063900.0,3.0,0.51,0.222,0.288,-69.359,-136.668,-136.668,-176.191,-176.191,-57.623,-57.623,5.296,84.118,84.118,244.749,244.749,244.749,244.749,13.23,118.93,101.4,83.16,1.7,9.0
2018-05-11,250.56,59871500.0,4.0,0.676,0.327,0.349,-60.215,-111.184,-111.184,-154.522,-154.522,-24.508,-24.508,5.876,85.457,85.457,245.395,245.395,245.395,245.395,12.65,119.23,101.41,83.16,1.7,6.778
2018-05-14,250.679,54790600.0,0.0,0.79,0.431,0.36,-55.695,-92.687,-92.687,-133.91,-133.91,-10.242,-10.242,5.974,85.661,85.661,245.923,245.923,245.923,245.923,12.93,118.6,101.19,83.16,1.7,6.75
2018-05-15,248.953,87036100.0,1.0,0.77,0.505,0.265,-67.182,-84.185,-84.185,-117.335,-117.335,-17.886,-17.886,2.367,70.304,70.304,246.199,246.199,246.199,246.199,14.63,117.25,100.63,83.11,1.7,7.333
2018-05-16,250.0,53942600.0,2.0,0.802,0.569,0.233,-86.237,-84.869,-84.869,-106.513,-106.513,-41.582,-41.582,2.762,73.417,73.417,246.515,246.515,246.515,246.515,13.42,116.8,100.42,83.11,1.7,6.333
2018-05-17,249.788,56536400.0,3.0,0.803,0.618,0.185,-172.023,-113.921,-113.921,-108.982,-108.982,-123.797,-123.797,2.544,71.782,71.782,246.767,246.767,246.767,246.767,13.43,116.21,100.36,83.13,1.7,7.0
2018-05-18,249.164,64368000.0,4.0,0.757,0.647,0.11,-179.016,-135.619,-135.619,-117.861,-117.861,-171.135,-171.135,2.033,67.031,67.031,246.938,246.938,246.938,246.938,13.42,117.21,100.75,83.17,1.7,6.5
2018-05-21,251.037,58025900.0,0.0,0.824,0.684,0.14,-229.653,-166.964,-166.964,-134.229,-134.229,-232.434,-232.434,2.682,72.839,72.839,247.212,247.212,247.212,247.212,13.08,117.27,100.82,83.17,1.7,7.444
2018-05-22,250.339,52966400.0,1.0,0.822,0.712,0.11,-466.604,-266.844,-266.844,-178.434,-178.434,-443.664,-443.664,2.128,68.03,68.03,247.407,247.407,247.407,247.407,13.22,117.09,100.78,83.17,1.7,6.0
2018-05-23,251.028,64694200.0,2.0,0.853,0.741,0.112,-450.284,-327.991,-327.991,-228.286,-228.286,-527.4,-527.4,2.347,70.126,70.126,247.62,247.62,247.62,247.62,12.58,117.94,101.24,83.24,1.7,5.0
2018-05-24,250.514,76043800.0,3.0,0.834,0.76,0.074,-462.469,-372.817,-372.817,-276.463,-276.463,-565.524,-565.524,1.995,66.615,66.615,247.781,247.781,247.781,247.781,12.53,118.88,101.5,83.29,1.7,7.0
2018-05-25,249.917,56374800.0,4.0,0.771,0.762,0.009,-476.614,-407.416,-407.416,-320.114,-320.114,-582.02,-582.02,1.68,62.69,62.69,247.893,247.893,247.893,247.893,13.22,119.62,101.9,83.36,1.7,6.5
2018-05-29,247.043,115908600.0,1.0,0.526,0.714,-0.189,-319.221,-378.018,-378.018,-339.415,-339.415,-455.223,-455.223,0.924,48.021,48.021,247.851,247.851,247.851,247.851,17.02,122.24,103.0,83.6,1.7,6.3
2018-05-30,250.339,69678400.0,2.0,0.548,0.681,-0.133,-268.424,-341.487,-341.487,-340.106,-340.106,-344.248,-344.248,1.48,59.676,59.676,247.969,247.969,247.969,247.969,14.94,121.42,102.56,83.5,1.7,8.0
2018-05-31,248.806,93519900.0,3.0,0.456,0.635,-0.18,-292.054,-325.009,-325.009,-335.074,-335.074,-304.881,-304.881,1.157,53.65,53.65,248.007,248.007,248.007,248.007,15.43,121.22,102.51,83.46,1.7,5.0
2018-06-01,251.248,71258400.0,4.0,0.545,0.617,-0.072,-254.417,-301.478,-301.478,-323.875,-323.875,-256.685,-256.685,1.531,60.493,60.493,248.148,248.148,248.148,248.148,13.46,120.3,101.93,83.27,1.82,8.0
2018-06-04,252.442,45385200.0,0.0,0.69,0.632,0.058,-206.161,-269.706,-269.706,-305.819,-305.819,-197.48,-197.48,1.728,63.342,63.342,248.327,248.327,248.327,248.327,12.74,119.43,101.57,83.2,1.82,7.25
2018-06-05,252.626,51135000.0,1.0,0.807,0.667,0.14,-194.776,-244.729,-244.729,-285.456,-285.456,-163.277,-163.277,1.76,63.775,63.775,248.499,248.499,248.499,248.499,12.4,119.71,101.83,83.25,1.82,6.8
2018-06-06,254.738,62732200.0,2.0,1.037,0.741,0.296,-133.423,-207.627,-207.627,-259.513,-259.513,-103.856,-103.856,2.164,68.395,68.395,248.739,248.739,248.739,248.739,11.64,118.74,101.42,83.22,1.82,9.0
2018-06-07,254.71,72969400.0,3.0,1.202,0.834,0.369,-124.046,-179.767,-179.767,-232.931,-232.931,-73.439,-73.439,2.152,68.273,68.273,248.96,248.96,248.96,248.96,12.13,119.89,101.85,83.3,1.82,7.727
2018-06-08,255.464,72139700.0,4.0,1.371,0.941,0.43,-116.887,-158.807,-158.807,-208.223,-208.223,-59.975,-59.975,2.318,69.86,69.86,249.192,249.192,249.192,249.192,12.18,119.53,101.71,83.28,1.82,6.6
2018-06-11,255.803,58892500.0,0.0,1.511,1.055,0.456,-158.691,-158.768,-158.768,-191.738,-191.738,-92.829,-92.829,2.398,70.575,70.575,249.42,249.42,249.42,249.42,12.35,119.31,101.61,83.25,1.82,5.0
2018-06-12,256.134,72329000.0,1.0,1.627,1.17,0.457,-155.062,-157.533,-157.533,-180.336,-180.336,-111.926,-111.926,2.483,71.289,71.289,249.644,249.644,249.644,249.644,12.34,119.34,101.55,83.21,1.82,9.0
2018-06-13,255.316,79070600.0,2.0,1.639,1.264,0.375,-237.95,-184.339,-184.339,-181.671,-181.671,-189.675,-189.675,2.027,66.964,66.964,249.827,249.827,249.827,249.827,12.94,119.28,101.43,83.17,1.82,6.5
2018-06-14,255.959,77097600.0,3.0,1.677,1.346,0.33,-343.785,-237.488,-237.488,-200.276,-200.276,-311.91,-311.91,2.183,68.578,68.578,250.019,250.019,250.019,250.019,12.12,120.27,101.75,83.2,1.82,6.833
2018-06-15,255.633,120041600.0,4.0,1.662,1.41,0.253,-349.946,-274.974,-274.974,-225.175,-225.175,-374.57,-374.57,2.011,66.793,66.793,250.189,250.189,250.189,250.189,11.98,120.38,101.83,83.24,1.82,7.0
2018-06-18,255.107,52917600.0,0.0,1.593,1.446,0.147,-438.034,-329.327,-329.327,-259.893,-259.893,-468.197,-468.197,1.771,63.907,63.907,250.334,250.334,250.334,250.334,12.31,120.27,101.88,83.26,1.82,7.0
2018-06-19,254.129,97531500.0,1.0,1.447,1.446,0.001,-326.062,-328.239,-328.239,-282.675,-282.675,-419.367,-419.367,1.428,58.818,58.818,250.442,250.442,250.442,250.442,13.35,120.97,102.15,83.29,1.82,5.333
2018-06-20,254.563,53785500.0,2.0,1.349,1.427,-0.078,-318.778,-325.085,-325.085,-296.812,-296.812,-381.632,-381.632,1.521,60.326,60.326,250.556,250.556,250.556,250.556,12.79,119.91,101.82,83.25,1.82,7.2
2018-06-21,252.967,71061400.0,3.0,1.136,1.369,-0.233,-345.595,-331.922,-331.922,-308.515,-308.515,-378.736,-378.736,1.113,52.677,52.677,250.622,250.622,250.622,250.622,14.64,120.54,102.09,83.3,1.82,6.4
2018-06-22,253.428,54898500.0,4.0,0.992,1.293,-0.302,-337.846,-333.897,-333.897,-316.976,-316.976,-367.739,-367.739,1.197,54.473,54.473,250.695,250.695,250.695,250.695,13.77,120.53,102.11,83.31,1.82,5.0
2018-06-25,249.978,137854200.0,0.0,0.605,1.156,-0.551,-184.217,-284.004,-284.004,-305.985,-305.985,-240.041,-240.041,0.716,41.715,41.715,250.677,250.677,250.677,250.677,17.33,120.8,102.25,83.34,1.82,5.667
2018-06-26,250.532,68547400.0,1.0,0.337,0.992,-0.655,-181.508,-249.838,-249.838,-287.269,-287.269,-174.977,-174.977,0.785,43.982,43.982,250.673,250.673,250.673,250.673,15.92,120.97,102.3,83.34,1.82,5.667
2018-06-27,248.456,105110700.0,2.0,-0.036,0.786,-0.822,-245.466,-248.381,-248.381,-274.307,-274.307,-196.53,-196.53,0.613,38.011,38.011,250.619,250.619,250.619,250.619,17.91,122.11,102.69,83.39,1.82,7.0
2018-06-28,249.877,76650500.0,3.0,-0.218,0.585,-0.803,-226.161,-240.975,-240.975,-263.196,-263.196,-196.532,-196.532,0.775,43.65,43.65,250.602,250.602,250.602,250.602,16.85,122.14,102.59,83.39,1.82,7.833
2018-06-29,250.237,97592500.0,4.0,-0.33,0.402,-0.732,-221.79,-234.58,-234.58,-253.657,-253.657,-196.425,-196.425,0.819,45.014,45.014,250.593,250.593,250.593,250.593,16.09,121.72,102.51,83.37,1.82,8.222
2018-07-02,250.772,63554800.0,0.0,-0.373,0.247,-0.62,-215.291,-228.15,-228.15,-245.155,-245.155,-194.141,-194.141,0.889,47.065,47.065,250.597,250.597,250.597,250.597,15.6,121.35,102.25,83.23,1.91,7.0
2018-07-03,249.886,42187100.0,1.0,-0.471,0.104,-0.574,-248.383,-234.895,-234.895,-241.735,-241.735,-221.214,-221.214,0.79,44.13,44.13,250.581,250.581,250.581,250.581,16.14,122.0,102.51,83.26,1.91,7.0
2018-07-05,251.925,56925900.0,3.0,-0.384,0.006,-0.39,-226.922,-232.237,-232.237,-238.569,-238.569,-219.574,-219.574,1.067,51.612,51.612,250.611,250.611,250.611,250.611,14.97,122.35,102.52,83.25,1.91,7.0
