date,open,high,low,close,volume,tic,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY
2018-05-01,41.603,42.3,41.318,40.302,214277600,AAPL,1,0.0,0.0,0.0,-103.395,-1.132,-1.132,32.956,32.956,-69.307,-69.307,,,,40.302,40.302,40.302,40.302,15.49,118.41,101.35,83.13
2018-05-02,43.807,44.438,43.45,42.082,266157600,AAPL,2,0.04,0.022,0.018,24.502,7.413,7.413,24.442,24.442,-26.644,-26.644,inf,100.0,100.0,41.192,41.192,41.192,41.192,15.97,118.28,101.37,83.16
2018-05-03,43.97,44.375,43.61,42.158,136272800,AAPL,3,0.053,0.035,0.018,26.947,13.924,13.924,20.936,20.936,-0.099,-0.099,inf,100.0,100.0,41.514,41.514,41.514,41.514,15.9,118.81,101.63,83.22
2018-05-04,44.562,46.062,44.542,43.812,224805200,AAPL,4,0.118,0.063,0.055,52.577,26.808,26.808,22.893,22.893,34.638,34.638,inf,100.0,100.0,42.089,42.089,42.089,42.089,14.77,118.99,101.64,83.19
2018-05-07,46.295,46.917,46.188,44.129,169805600,AAPL,0,0.163,0.093,0.07,50.209,34.609,34.609,26.799,26.799,50.229,50.229,inf,100.0,100.0,42.497,42.497,42.497,42.497,14.75,118.8,101.59,83.19
2018-05-08,46.248,46.555,45.917,44.341,113611200,AAPL,1,0.196,0.121,0.075,53.997,41.072,41.072,31.556,31.556,60.102,60.102,inf,100.0,100.0,42.804,42.804,42.804,42.804,14.71,118.69,101.42,83.2
2018-05-09,46.638,46.85,46.305,44.654,92844800,AAPL,2,0.228,0.148,0.08,59.573,47.239,47.239,36.784,36.784,68.148,68.148,inf,100.0,100.0,43.068,43.068,43.068,43.068,13.42,117.98,101.19,83.16
2018-05-10,46.935,47.592,46.912,45.292,111957200,AAPL,3,0.276,0.179,0.098,63.343,52.607,52.607,42.058,42.058,73.704,73.704,inf,100.0,100.0,43.346,43.346,43.346,43.346,13.23,118.93,101.4,83.16
2018-05-11,47.373,47.515,46.862,45.12,104848800,AAPL,4,0.297,0.206,0.091,60.598,55.27,55.27,46.462,46.462,72.887,72.887,20.424,95.332,95.332,43.543,43.543,43.543,43.543,12.65,119.23,101.41,83.16
2018-05-14,47.252,47.382,46.965,45.015,83115200,AAPL,0,0.302,0.227,0.074,37.773,49.438,49.438,47.454,47.454,53.406,53.406,12.318,92.491,92.491,43.691,43.691,43.691,43.691,12.93,118.6,101.19,83.16
