date,open,high,low,close,volume,tic,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY
2018-05-01,78.161,79.25,77.609,79.113,91442000,AMZN,1,0.0,0.0,0.0,91.651,63.884,63.884,54.628,54.628,82.396,82.396,,,,79.113,79.113,79.113,79.113,15.49,118.41,101.35,83.13
2018-05-02,79.049,79.425,78.318,78.484,87206000,AMZN,2,-0.014,-0.008,-0.006,48.183,58.65,58.65,55.969,55.969,64.013,64.013,0.0,0.0,0.0,78.799,78.799,78.799,78.799,15.97,118.28,101.37,83.16
2018-05-03,78.001,78.74,77.301,78.604,85038000,AMZN,3,-0.014,-0.01,-0.004,61.346,59.549,59.549,57.162,57.162,64.322,64.322,0.205,17.043,17.043,78.734,78.734,78.734,78.734,15.9,118.81,101.63,83.22
2018-05-04,78.122,79.245,78.109,79.048,68872000,AMZN,4,0.002,-0.006,0.008,82.227,67.108,67.108,60.477,60.477,80.37,80.37,1.023,50.573,50.573,78.812,78.812,78.812,78.812,14.77,118.99,101.64,83.19
2018-05-07,79.467,80.348,79.392,80.007,76038000,AMZN,0,0.049,0.01,0.039,88.823,74.347,74.347,65.1,65.1,92.839,92.839,2.928,74.545,74.545,79.051,79.051,79.051,79.051,14.75,118.8,101.59,83.19
2018-05-08,79.75,79.844,79.126,79.619,61358000,AMZN,1,0.06,0.024,0.036,76.104,74.932,74.932,68.378,68.378,88.041,88.041,1.601,61.56,61.56,79.146,79.146,79.146,79.146,14.71,118.69,101.42,83.2
2018-05-09,80.0,80.4,79.6,80.4,72746000,AMZN,2,0.101,0.043,0.058,100.0,83.288,83.288,73.348,73.348,103.169,103.169,2.584,72.101,72.101,79.325,79.325,79.325,79.325,13.42,117.98,101.19,83.16
2018-05-10,80.424,80.78,80.172,80.454,56350000,AMZN,3,0.13,0.064,0.066,90.63,85.735,85.735,77.477,77.477,102.252,102.252,2.658,72.66,72.66,79.466,79.466,79.466,79.466,13.23,118.93,101.4,83.16
2018-05-11,80.549,80.555,79.895,80.146,45278000,AMZN,4,0.132,0.08,0.052,81.762,84.411,84.411,79.788,79.788,93.656,93.656,1.832,64.69,64.69,79.542,79.542,79.542,79.542,12.65,119.23,101.41,83.16
2018-05-14,80.2,80.559,80.003,80.077,50190000,AMZN,0,0.128,0.091,0.038,79.793,82.872,82.872,80.816,80.816,86.983,86.983,1.705,63.037,63.037,79.595,79.595,79.595,79.595,12.93,118.6,101.19,83.16
