date,close,volume,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY,NFP,InterestRate,UnemploymentRate,PPI,CPI,benz_rate,reportedEPS,estimatedEPS,surprisePct
2018-05-04,52.41,38774000.0,4.0,0.023,-0.001,0.024,99.289,71.275,71.275,61.759,61.759,90.307,90.307,2.082,67.555,67.555,51.67,51.67,51.67,51.67,14.77,118.99,101.64,83.19,148755.0,1.7,3.8,203.2,250.792,7.189,0.6665,0.466,43.0258
2018-05-07,52.739,29322000.0,0.0,0.059,0.017,0.042,87.561,76.703,76.703,66.74,66.74,96.63,96.63,2.685,72.86,72.86,51.884,51.884,51.884,51.884,14.75,118.8,101.59,83.19,148755.0,1.7,3.8,203.2,250.792,7.667,0.6665,0.466,43.0258
2018-05-08,52.695,24354000.0,1.0,0.077,0.033,0.044,85.972,79.793,79.793,71.091,71.091,97.197,97.197,2.47,71.184,71.184,52.019,52.019,52.019,52.019,14.71,118.69,101.42,83.2,148755.0,1.7,3.8,203.2,250.792,6.6,0.6665,0.466,43.0258
2018-05-09,54.138,40656000.0,2.0,0.153,0.064,0.089,96.614,85.4,85.4,75.861,75.861,104.479,104.479,5.289,84.1,84.1,52.322,52.322,52.322,52.322,13.42,117.98,101.19,83.16,148755.0,1.7,3.8,203.2,250.792,7.111,0.6665,0.466,43.0258
2018-05-10,54.879,28860000.0,3.0,0.236,0.105,0.131,96.952,89.251,89.251,80.324,80.324,107.104,107.104,6.848,87.257,87.257,52.642,52.642,52.642,52.642,13.23,118.93,101.4,83.16,148755.0,1.7,3.8,203.2,250.792,9.0,0.6665,0.466,43.0258
2018-05-11,54.913,25074000.0,4.0,0.293,0.148,0.144,96.77,91.757,91.757,84.135,84.135,107.001,107.001,6.926,87.383,87.383,52.894,52.894,52.894,52.894,12.65,119.23,101.41,83.16,148755.0,1.7,3.8,203.2,250.792,6.778,0.6665,0.466,43.0258
2018-05-14,55.01,30362000.0,0.0,0.333,0.19,0.143,89.9,91.138,91.138,86.469,86.469,100.476,100.476,7.163,87.749,87.749,53.106,53.106,53.106,53.106,12.93,118.6,101.19,83.16,148755.0,1.7,3.8,203.2,250.792,6.75,0.6665,0.466,43.0258
2018-05-15,53.961,29898000.0,1.0,0.302,0.214,0.087,69.826,84.034,84.034,85.658,85.658,80.787,80.787,1.907,65.6,65.6,53.183,53.183,53.183,53.183,14.63,117.25,100.63,83.11,148755.0,1.7,3.8,203.2,250.792,7.333,0.6665,0.466,43.0258
2018-05-16,54.089,21946000.0,2.0,0.282,0.229,0.053,69.121,79.063,79.063,83.459,83.459,70.27,70.27,2.003,66.697,66.697,53.259,53.259,53.259,53.259,13.42,116.8,100.42,83.11,148755.0,1.7,3.8,203.2,250.792,6.333,0.6665,0.466,43.0258
2018-05-17,53.93,20876000.0,3.0,0.254,0.234,0.02,49.474,69.2,69.2,78.706,78.706,50.187,50.187,1.774,63.948,63.948,53.31,53.31,53.31,53.31,13.43,116.21,100.36,83.13,148755.0,1.7,3.8,203.2,250.792,7.0,0.6665,0.466,43.0258
2018-05-18,53.318,31304000.0,4.0,0.195,0.226,-0.031,30.21,56.203,56.203,71.205,71.205,26.199,26.199,1.204,54.625,54.625,53.311,53.311,53.311,53.311,13.42,117.21,100.75,83.17,148755.0,1.7,3.8,203.2,250.792,6.5,0.6665,0.466,43.0258
