fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-03-31,2023-04-25,1.17,1.06,0.11,10.3774
2022-12-31,2023-02-02,1.05,1.19,-0.14,-11.7647
2022-09-30,2022-10-25,1.06,1.25,-0.19,-15.2
2022-06-30,2022-07-26,1.21,1.3,-0.09,-6.9231
2022-03-31,2022-04-26,1.23,1.29,-0.06,-4.6512
2021-12-31,2022-02-01,1.53,1.38,0.15,10.8696
2021-09-30,2021-10-26,1.4,1.17,0.23,19.6581
2021-06-30,2021-07-27,1.36,0.96,0.4,41.6667
2021-03-31,2021-04-27,1.31,0.79,0.52,65.8228
2020-12-31,2021-02-02,1.12,0.8,0.32,40
2020-09-30,2020-10-29,0.82,0.56,0.26,46.4286
2020-06-30,2020-07-30,0.51,0.42,0.09,21.4286
2020-03-31,2020-04-28,0.4935,0.519,-0.0255,-4.9133
2019-12-31,2020-02-03,0.7675,0.6295,0.138,21.9222
2019-09-30,2019-10-28,0.506,0.623,-0.117,-18.7801
2019-06-30,2019-07-25,0.7105,0.5665,0.144,25.4192
2019-03-31,2019-04-29,0.475,0.5315,-0.0565,-10.6303
2018-12-31,2019-02-04,0.6385,0.541,0.0975,18.0222
2018-09-30,2018-10-25,0.653,0.52,0.133,25.5769
2018-06-30,2018-07-23,0.227,0.477,-0.25,-52.4109
2018-03-31,2018-04-23,0.6665,0.466,0.2005,43.0258
2017-12-31,2018-02-01,0.485,0.498,-0.013,-2.6104
2017-09-30,2017-10-26,0.4785,0.4165,0.062,14.886
2017-06-30,2017-07-24,0.2505,0.2235,0.027,12.0805
2017-03-31,2017-04-27,0.3865,0.3695,0.017,4.6008
2016-12-31,2017-01-26,0.468,0.4835,-0.0155,-3.2058
2016-09-30,2016-10-27,0.453,0.432,0.021,4.8611
2016-06-30,2016-07-28,0.421,0.4015,0.0195,4.8568
2016-03-31,2016-04-21,0.375,0.398,-0.023,-5.7789
2015-12-31,2016-02-01,0.4335,0.405,0.0285,7.037
2015-09-30,2015-10-22,0.3675,0.3605,0.007,1.9417
2015-06-30,2015-07-16,0.3495,0.337,0.0125,3.7092
2015-03-31,2015-04-23,0.3285,6.71,-6.3815,-95.1043
2014-12-31,2015-01-29,0.344,6.93,-6.586,-95.0361
2014-09-30,2014-10-16,0.3175,6.33,-6.0125,-94.9842
2014-06-30,2014-07-17,6.08,6.57,-0.49,-7.4581
2014-03-31,2014-04-16,6.27,6.35,-0.08,-1.2598
