date,close,volume,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY,NFP,InterestRate,UnemploymentRate,PPI,CPI,benz_rate,reportedEPS,estimatedEPS,surprisePct
2018-05-03,88.781,31142500.0,3.0,-0.024,-0.02,-0.004,-129.194,-87.141,-87.141,-30.171,-30.171,-201.08,-201.08,0.405,28.812,28.812,88.897,88.897,88.897,88.897,15.9,118.81,101.63,83.22,148755.0,1.7,3.8,203.2,250.792,7.475,0.95,0.85,11.7647
2018-05-04,89.81,22531300.0,4.0,0.017,-0.007,0.025,-90.425,-88.235,-88.235,-49.526,-49.526,-165.654,-165.654,1.253,55.618,55.618,89.125,89.125,89.125,89.125,14.77,118.99,101.64,83.19,148755.0,1.7,3.8,203.2,250.792,6.333,0.95,0.85,11.7647
2018-05-07,90.81,24242000.0,0.0,0.079,0.018,0.061,-38.498,-71.656,-71.656,-56.903,-56.903,-101.163,-101.163,2.142,68.17,68.17,89.462,89.462,89.462,89.462,14.75,118.8,101.59,83.19,148755.0,1.7,3.8,203.2,250.792,7.667,0.95,0.85,11.7647
2018-05-08,90.423,23484600.0,1.0,0.098,0.04,0.058,-47.581,-63.631,-63.631,-59.146,-59.146,-72.602,-72.602,1.563,60.986,60.986,89.622,89.622,89.622,89.622,14.71,118.69,101.42,83.2,148755.0,1.7,3.8,203.2,250.792,6.6,0.95,0.85,11.7647
2018-05-09,91.49,27327400.0,2.0,0.157,0.07,0.088,-21.25,-49.504,-49.504,-55.932,-55.932,-36.649,-36.649,2.365,70.282,70.282,89.889,89.889,89.889,89.889,13.42,117.98,101.19,83.16,148755.0,1.7,3.8,203.2,250.792,7.111,0.95,0.85,11.7647
2018-05-10,92.405,22388100.0,3.0,0.238,0.11,0.128,-0.819,-33.276,-33.276,-48.38,-48.38,-3.068,-3.068,3.106,75.646,75.646,90.204,90.204,90.204,90.204,13.23,118.93,101.4,83.16,148755.0,1.7,3.8,203.2,250.792,9.0,0.95,0.85,11.7647
2018-05-11,92.207,16778300.0,4.0,0.28,0.149,0.131,-4.422,-23.658,-23.658,-40.139,-40.139,9.305,9.305,2.649,72.591,72.591,90.426,90.426,90.426,90.426,12.65,119.23,101.41,83.16,148755.0,1.7,3.8,203.2,250.792,6.778,0.95,0.85,11.7647
2018-05-14,92.518,19454100.0,0.0,0.322,0.188,0.134,1.094,-15.407,-15.407,-31.895,-31.895,17.568,17.568,2.898,74.345,74.345,90.635,90.635,90.635,90.635,12.93,118.6,101.19,83.16,148755.0,1.7,3.8,203.2,250.792,6.75,0.95,0.85,11.7647
2018-05-15,91.848,24594000.0,1.0,0.312,0.215,0.097,-9.645,-13.487,-13.487,-25.759,-25.759,11.058,11.058,1.837,64.747,64.747,90.746,90.746,90.746,90.746,14.63,117.25,100.63,83.11,148755.0,1.7,3.8,203.2,250.792,7.333,0.95,0.85,11.7647
2018-05-16,92.085,17384700.0,2.0,0.314,0.236,0.077,-14.469,-13.814,-13.814,-21.777,-21.777,2.112,2.112,1.976,66.399,66.399,90.857,90.857,90.857,90.857,13.42,116.8,100.42,83.11,148755.0,1.7,3.8,203.2,250.792,6.333,0.95,0.85,11.7647
