date,close,volume,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY,NFP,InterestRate,UnemploymentRate,PPI,CPI,benz_rate,reportedEPS,estimatedEPS,surprisePct
2018-05-03,57.686,44314400.0,3.0,0.045,0.017,0.028,72.096,53.405,53.405,50.035,50.035,60.145,60.145,8.667,89.655,89.655,56.652,56.652,56.652,56.652,15.9,118.81,101.63,83.22,148755.0,1.7,3.8,203.2,250.792,7.475,0.39,0.29,34.4828
2018-05-04,59.189,40066000.0,4.0,0.121,0.052,0.069,85.667,64.159,64.159,54.743,54.743,82.992,82.992,17.148,94.49,94.49,57.286,57.286,57.286,57.286,14.77,118.99,101.64,83.19,148755.0,1.7,3.8,203.2,250.792,6.333,0.39,0.29,34.4828
2018-05-07,61.571,68761600.0,0.0,0.255,0.113,0.142,83.648,70.655,70.655,60.047,60.047,91.872,91.872,31.624,96.935,96.935,58.143,58.143,58.143,58.143,14.75,118.8,101.59,83.19,148755.0,1.7,3.8,203.2,250.792,7.667,0.39,0.29,34.4828
2018-05-08,61.996,50661600.0,1.0,0.348,0.177,0.172,89.564,76.958,76.958,65.684,65.684,99.507,99.507,34.411,97.176,97.176,58.785,58.785,58.785,58.785,14.71,118.69,101.42,83.2,148755.0,1.7,3.8,203.2,250.792,6.6,0.39,0.29,34.4828
2018-05-09,63.328,59676000.0,2.0,0.463,0.249,0.214,92.408,82.108,82.108,71.159,71.159,104.007,104.007,43.799,97.768,97.768,59.434,59.434,59.434,59.434,13.42,117.98,101.19,83.16,148755.0,1.7,3.8,203.2,250.792,7.111,0.39,0.29,34.4828
2018-05-10,64.405,99408000.0,3.0,0.583,0.329,0.254,92.485,85.567,85.567,75.961,75.961,104.778,104.778,51.975,98.112,98.112,60.056,60.056,60.056,60.056,13.23,118.93,101.4,83.16,148755.0,1.7,3.8,203.2,250.792,9.0,0.51,0.4,27.5
2018-05-11,63.019,121445600.0,4.0,0.589,0.389,0.2,78.004,83.046,83.046,78.323,78.323,92.492,92.492,4.214,80.821,80.821,60.385,60.385,60.385,60.385,12.65,119.23,101.41,83.16,148755.0,1.7,3.8,203.2,250.792,6.778,0.51,0.4,27.5
2018-05-14,63.224,52314000.0,0.0,0.595,0.435,0.16,78.433,81.509,81.509,79.385,79.385,85.756,85.756,4.361,81.345,81.345,60.669,60.669,60.669,60.669,12.93,118.6,101.19,83.16,148755.0,1.7,3.8,203.2,250.792,6.75,0.51,0.4,27.5
2018-05-15,60.798,96352800.0,1.0,0.462,0.441,0.021,50.165,71.061,71.061,76.61,76.61,59.962,59.962,1.522,60.349,60.349,60.681,60.681,60.681,60.681,14.63,117.25,100.63,83.11,148755.0,1.7,3.8,203.2,250.792,7.333,0.51,0.4,27.5
2018-05-16,60.909,55382800.0,2.0,0.364,0.425,-0.061,42.587,61.569,61.569,71.597,71.597,41.515,41.515,1.554,60.849,60.849,60.7,60.7,60.7,60.7,13.42,116.8,100.42,83.11,148755.0,1.7,3.8,203.2,250.792,6.333,0.51,0.4,27.5
2018-05-17,61.33,51978400.0,3.0,0.311,0.401,-0.09,20.113,47.751,47.751,63.648,63.648,15.956,15.956,1.685,62.758,62.758,60.748,60.748,60.748,60.748,13.43,116.21,100.36,83.13,148755.0,1.7,3.8,203.2,250.792,7.0,0.51,0.4,27.5
