fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-01-31,2023-02-22,0.88,0.81,0.07,8.642
2022-10-31,2022-11-16,0.58,0.69,-0.11,-15.942
2022-07-31,2022-08-24,0.51,1.26,-0.75,-59.5238
2022-04-30,2022-05-25,1.36,1.29,0.07,5.4264
2022-01-31,2022-02-16,1.32,1.22,0.1,8.1967
2021-10-31,2021-11-17,1.17,1.11,0.06,5.4054
2021-07-31,2021-08-18,1.04,1.01,0.03,2.9703
2021-04-30,2021-05-26,0.92,0.82,0.1,12.1951
2021-01-31,2021-02-24,0.78,0.7,0.08,11.4286
2020-10-31,2020-11-18,0.73,0.64,0.09,14.0625
2020-07-31,2020-08-19,0.55,0.49,0.06,12.2449
2020-04-30,2020-05-21,0.45,0.42,0.03,7.1429
2020-01-31,2020-02-13,0.47,0.42,0.05,11.9048
2019-10-31,2019-11-14,0.45,0.39,0.06,15.3846
2019-07-31,2019-08-15,0.31,0.29,0.02,6.8966
2019-04-30,2019-05-16,0.22,0.2,0.02,10
2019-01-31,2019-02-14,0.2,0.19,0.01,5.2632
2018-10-31,2018-11-15,0.46,0.47,-0.01,-2.1277
2018-07-31,2018-08-16,0.49,0.44,0.05,11.3636
2018-04-30,2018-05-10,0.51,0.4,0.11,27.5
2018-01-31,2018-02-08,0.39,0.29,0.1,34.4828
2017-10-31,2017-11-09,0.33,0.24,0.09,37.5
2017-07-31,2017-08-10,0.23,0.17,0.06,35.2941
2017-04-30,2017-05-09,0.2,0.16,0.04,25
2017-01-31,2017-02-09,0.25,0.21,0.04,19.0476
2016-10-31,2016-11-10,0.21,0.14,0.07,50
2016-07-31,2016-08-11,0.1,0.09,0.01,11.1111
2016-04-30,2016-05-12,0.08,0.08,0,0
2016-01-31,2016-02-17,0.09,0.08,0.01,12.5
2015-10-31,2015-11-05,0.11,0.06,0.05,83.3333
2015-07-31,2015-08-06,0.04,0.03,0.01,33.3333
2015-04-30,2015-05-07,0.06,0.06,0,0
2015-01-31,2015-02-11,0.09,0.07,0.02,28.5714
2014-10-31,2014-11-06,0.08,0.07,0.01,14.2857
2014-07-31,2014-08-07,0.06,0.05,0.01,20
2014-04-30,2014-05-06,0.05,0.04,0.01,25
2014-01-31,2014-02-12,0.06,0.05,0.01,20
2013-10-31,2013-11-07,0.05,0.05,0,0
2013-07-31,2013-08-08,0.04,0.03,0.01,33.3333
2013-04-30,2013-05-09,0.03,0.02,0.01,50
2013-01-31,2013-02-13,0.07,0.06,0.01,16.6667
2012-10-31,2012-11-08,0.08,0.07,0.01,14.2857
2012-07-31,2012-08-09,0.06,0.04,0.02,50
2012-04-30,2012-05-11,0.03,0.02,0.01,50
2012-01-31,2012-02-15,0.05,0.05,0,0
2011-10-31,2011-11-10,0.07,0.06,0.01,16.6667
2011-07-31,2011-08-11,0.06,0.06,0,0
2011-04-30,2011-05-12,0.06,0.05,0.01,20
2011-01-31,2011-02-16,0.06,0.04,0.02,50
2010-10-31,2010-11-11,0.04,0.04,0,0
2010-07-31,2010-08-12,0.01,0.03,-0.02,-66.6667
2010-04-30,2010-05-13,0.06,0.05,0.01,20
2010-01-31,2010-02-17,0.06,0.05,0.01,20
2009-10-31,2009-11-05,0.05,0.03,0.02,66.6667
2009-07-31,2009-08-06,0.02,-0.01,0.03,300
2009-04-30,2009-05-07,-0.02,-0.03,0.01,33.3333
2009-01-31,2009-02-10,-0.04,-0.02,-0.02,-100
2008-10-31,2008-11-06,0.05,0.03,0.02,66.6667
2008-07-31,2008-08-12,0.03,0.03,0,0
2008-04-30,2008-05-08,0.09,0.1,-0.01,-10
2008-01-31,2008-02-13,0.12,0.12,0,0
2007-10-31,2007-11-08,0.11,0.09,0.02,22.2222
2007-07-31,2007-08-09,0.09,0.07,0.02,28.5714
2007-04-30,2007-05-10,0.07,0.06,0.01,16.6667
2007-01-31,2007-02-13,0.09,0.07,0.02,28.5714
2006-10-31,2006-11-09,0.07,0.06,0.01,16.6667
2006-07-31,2006-08-10,0.0375,None,None,None
2006-04-30,2006-05-11,0.05,0.05,0,0
2006-01-31,2006-02-16,0.04,0.04,0,0
2005-10-31,2005-11-09,0.04,0.03,0.01,33.3333
2005-07-31,2005-08-11,0.03,0.03,0,0
2005-04-30,2005-05-12,0.06,0.02,0.04,200
2005-01-31,2005-02-17,0.03,0.02,0.01,50
2004-10-31,2004-11-04,0.02,0.01,0.01,100
2004-07-31,2004-08-05,0.02,0.01,0.01,100
2004-04-30,2004-05-06,0.02,0.01,0.01,100
2004-01-31,2004-02-12,0.03,0.01,0.02,200
2003-10-31,2003-11-06,0.01,0.01,0,0
2003-07-31,2003-08-07,0.01,0.01,0,0
2003-04-30,2003-05-08,0.01,0.01,0,0
2003-01-31,2003-02-13,0.01,0.02,-0.01,-50
2002-10-31,2002-11-07,0.01,0.01,0,0
2002-07-31,2002-08-15,0.01,0.01,0,0
2002-04-30,2002-05-22,0.04,0.04,0,0
2002-01-31,2002-02-14,0.04,0.03,0.01,33.3333
2001-10-31,2001-11-08,0.02,0.02,0,0
2001-07-31,2001-08-14,0.02,0.02,0,0
2001-04-30,2001-05-22,0.02,0.02,0,0
2001-01-31,2001-02-15,0.01,0.02,-0.01,-50
2000-10-31,2000-11-09,0.01,0.01,0,0
2000-07-31,2000-08-21,0.01,0.01,0,0
2000-04-30,2000-05-16,0.01,0.01,0,0
2000-01-31,2000-02-15,0.01,0.01,0,0
1999-10-31,1999-11-18,0.01,0.02,-0.01,-50
1999-07-31,1999-08-18,0.02,0.02,0,0
1999-04-30,1999-05-18,0.02,0.01,0.01,100
