date,open,high,low,close,volume,tic,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY
2018-05-01,160.52,162.8,160.14,157.28,36513500,QQQ,1,0.0,0.0,0.0,-107.524,-2.508,-2.508,32.497,32.497,-72.519,-72.519,,,,157.28,157.28,157.28,157.28,15.49,118.41,101.35,83.13
2018-05-02,163.06,163.57,161.63,156.352,38646800,QQQ,2,-0.021,-0.012,-0.009,-110.428,-38.481,-38.481,8.838,8.838,-133.119,-133.119,0.0,0.0,0.0,156.816,156.816,156.816,156.816,15.97,118.28,101.37,83.16
2018-05-03,161.0,162.4,159.22,156.333,60337100,QQQ,3,-0.027,-0.018,-0.009,-66.368,-47.777,-47.777,-10.034,-10.034,-123.263,-123.263,0.0,0.0,0.0,156.655,156.655,156.655,156.655,15.9,118.81,101.63,83.22
2018-05-04,161.1,165.25,160.98,159.299,41543200,QQQ,4,0.078,0.014,0.063,1.315,-31.413,-31.413,-17.16,-17.16,-59.919,-59.919,3.628,78.39,78.39,157.316,157.316,157.316,157.316,14.77,118.99,101.64,83.19
2018-05-07,165.64,166.78,165.51,160.623,32500200,QQQ,0,0.186,0.065,0.12,18.558,-14.756,-14.756,-16.359,-16.359,-11.551,-11.551,5.371,84.304,84.304,157.977,157.977,157.977,157.977,14.75,118.8,101.59,83.19
2018-05-08,165.89,166.43,164.86,160.459,26040200,QQQ,1,0.24,0.113,0.127,16.385,-4.376,-4.376,-12.364,-12.364,11.602,11.602,4.356,81.329,81.329,158.391,158.391,158.391,158.391,14.71,118.69,101.42,83.2
2018-05-09,166.37,168.0,165.78,162.208,29122700,QQQ,2,0.35,0.173,0.177,34.027,8.425,8.425,-5.435,-5.435,36.144,36.144,6.523,86.707,86.707,158.936,158.936,158.936,158.936,13.42,117.98,101.19,83.16
2018-05-10,168.42,169.74,168.29,163.889,27067600,QQQ,3,0.498,0.251,0.247,44.379,20.41,20.41,3.18,3.18,54.869,54.869,8.765,89.76,89.76,159.555,159.555,159.555,159.555,13.23,118.93,101.4,83.16
2018-05-11,169.42,169.86,168.72,163.734,24688800,QQQ,4,0.586,0.328,0.257,42.426,27.749,27.749,11.37,11.37,60.507,60.507,7.173,87.764,87.764,160.02,160.02,160.02,160.02,12.65,119.23,101.41,83.16
2018-05-14,169.85,170.82,169.47,164.014,21821700,QQQ,0,0.653,0.401,0.252,41.331,32.276,32.276,18.338,18.338,60.151,60.151,7.527,88.273,88.273,160.419,160.419,160.419,160.419,12.93,118.6,101.19,83.16
2018-05-15,168.41,168.5,166.98,162.198,49361600,QQQ,1,0.597,0.444,0.153,25.671,30.074,30.074,22.25,22.25,45.722,45.722,2.165,68.405,68.405,160.581,160.581,160.581,160.581,14.63,117.25,100.63,83.11
2018-05-16,168.09,169.37,168.01,163.27,22941200,QQQ,2,0.606,0.479,0.127,23.276,27.808,27.808,24.103,24.103,35.219,35.219,2.618,72.361,72.361,160.805,160.805,160.805,160.805,13.42,116.8,100.42,83.11
