date,open,high,low,close,volume,tic,day,macd,macds,macdh,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj,rs_14,rsi_14,rsi,close_50_sma,ma50,close_200_sma,ma200,vix,TLT,IEF,SHY
2018-05-01,24117.289,24117.289,23808.189,24099.051,380070000,^DJI,1,0.0,0.0,0.0,94.1,64.7,64.7,54.9,54.9,84.3,84.3,,,,24099.051,24099.051,24099.051,24099.051,15.49,118.41,101.35,83.13
2018-05-02,24097.631,24185.52,23886.301,23924.98,385350000,^DJI,2,-3.905,-2.17,-1.736,30.952,53.451,53.451,54.417,54.417,51.518,51.518,0.0,0.0,0.0,24012.016,24012.016,24012.016,24012.016,15.97,118.28,101.37,83.16
2018-05-03,23836.23,23996.15,23531.311,23930.15,389240000,^DJI,3,-4.816,-3.254,-1.562,60.965,55.955,55.955,54.93,54.93,58.007,58.007,0.032,3.099,3.099,23984.727,23984.727,23984.727,23984.727,15.9,118.81,101.63,83.22
2018-05-04,23865.221,24333.35,23778.869,24262.51,329480000,^DJI,4,6.888,0.181,6.706,91.168,67.693,67.693,59.184,59.184,84.71,84.71,2.246,69.196,69.196,24054.173,24054.173,24054.173,24054.173,14.77,118.99,101.64,83.19
2018-05-07,24317.66,24479.449,24263.42,24357.32,307670000,^DJI,0,16.875,5.147,11.728,87.119,74.168,74.168,64.179,64.179,94.147,94.147,2.927,74.533,74.533,24114.802,24114.802,24114.802,24114.802,14.75,118.8,101.59,83.19
2018-05-08,24341.35,24412.34,24198.34,24360.211,344940000,^DJI,1,22.685,9.901,12.784,87.424,78.587,78.587,68.981,68.981,97.798,97.798,2.949,74.677,74.677,24155.704,24155.704,24155.704,24155.704,14.71,118.69,101.42,83.2
2018-05-09,24399.18,24586.48,24323.869,24542.539,361580000,^DJI,2,34.28,16.071,18.209,95.836,84.336,84.336,74.1,74.1,104.81,104.81,4.466,81.706,81.706,24210.966,24210.966,24210.966,24210.966,13.42,117.98,101.19,83.16
2018-05-10,24591.66,24794.99,24575.91,24739.529,304210000,^DJI,3,50.873,24.434,26.438,95.611,88.095,88.095,78.765,78.765,106.755,106.755,6.232,86.172,86.172,24277.036,24277.036,24277.036,24277.036,13.23,118.93,101.4,83.16
2018-05-11,24758.641,24868.65,24717.5,24831.17,274150000,^DJI,4,66.135,34.067,32.068,97.197,91.129,91.129,82.886,82.886,107.614,107.614,7.116,87.679,87.679,24338.607,24338.607,24338.607,24338.607,12.65,119.23,101.41,83.16
2018-05-14,24879.369,24994.189,24862.52,24899.41,282860000,^DJI,0,79.515,44.25,35.265,93.521,91.926,91.926,85.9,85.9,103.98,103.98,7.825,88.669,88.669,24394.687,24394.687,24394.687,24394.687,12.93,118.6,101.19,83.16
