date,NFP,InterestRate,UnemploymentRate,PPI,CPI,PCE,IPI,ConsumerSentiment,RetailSales,HousingStarts,HPI
2018-05-01,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-02,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-03,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-04,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-05,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-06,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-07,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-08,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-09,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-10,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-11,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-12,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-13,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-14,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-15,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-16,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-17,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-18,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-19,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-20,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-21,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-22,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-23,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-24,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-25,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-26,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-27,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-28,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-29,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-30,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-05-31,148755.0,1.7,3.8,203.2,250.792,13860.2,102.3911,98.0,500585.0,1358.0,202.46
2018-06-01,148966.0,1.82,4.0,204.2,251.018,13900.2,103.1924,98.2,498989.0,1199.0,204.053
2018-06-02,148966.0,1.82,4.0,204.2,251.018,13900.2,103.1924,98.2,498989.0,1199.0,204.053
2018-06-03,148966.0,1.82,4.0,204.2,251.018,13900.2,103.1924,98.2,498989.0,1199.0,204.053
